Giá,Khoảng giá min,Khoảng giá max,Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Loại xe,Dung tích xe,Xuất xứ,Chênh lệch giá
25.555555,22.36,26.25,Yamaha,Exciter,2020,35000,Tay côn/Moto,100 - 175 cc,Việt Nam,3.8900000000000006
5.5,6.82,8.01,Honda,Wave,2008,100,Xe số,100 - 175 cc,Hàn Quốc,1.1899999999999995
22.0,16.25,19.08,Honda,CBR,2011,20000,Tay côn/Moto,100 - 175 cc,Thái Lan,2.8299999999999983
10.0,6.68,7.84,Honda,Lead,2010,39,Tay ga,100 - 175 cc,Đang cập nhật,1.1600000000000001
10.7,12.59,14.78,Honda,Air Blade,2010,12345,Tay ga,100 - 175 cc,Nhật Bản,2.1899999999999995
28.0,16.25,19.08,Honda,CBR,2011,14000,Tay côn/Moto,100 - 175 cc,Thái Lan,2.8299999999999983
89.0,14.53,17.05,Honda,ADV 160,2021,1000,Tay ga,100 - 175 cc,Nước khác,2.5200000000000014
88.0,69.27,81.32,Honda,SH,2021,1000,Tay ga,100 - 175 cc,Việt Nam,12.049999999999997
9.0,5.12,6.01,Honda,Click,2006,38000,Tay ga,100 - 175 cc,Đang cập nhật,0.8899999999999997
8.0,8.23,9.66,Honda,Cub,1997,0,Xe số,Dưới 50 cc,Nhật Bản,1.4299999999999997
12.0,14.53,17.05,Suzuki,GN,2010,0,Tay côn/Moto,100 - 175 cc,Đang cập nhật,2.5200000000000014
10.3,5.41,6.35,Piaggio,LX,2009,39000,Tay ga,100 - 175 cc,Đang cập nhật,0.9399999999999995
23.9,19.98,23.46,Honda,Air Blade,2016,39,Tay ga,100 - 175 cc,Đang cập nhật,3.4800000000000004
7.0,5.41,6.35,Yamaha,Luvias,2010,100000,Tay ga,100 - 175 cc,Việt Nam,0.9399999999999995
28.6,23.44,27.51,Honda,Winner X,2022,13000,Tay côn/Moto,100 - 175 cc,Việt Nam,4.07
25.5,22.36,26.25,Yamaha,Exciter,2020,36000,Tay côn/Moto,100 - 175 cc,Việt Nam,3.8900000000000006
24.2,23.67,27.79,Honda,SH,2005,10000,Tay ga,100 - 175 cc,Nước khác,4.119999999999997
